model,experiment,year,tas
ACCESS-CM2,historical,1960,278.08734131
ACCESS-CM2,historical,1961,279.55474854
ACCESS-CM2,historical,1962,278.43261719
ACCESS-CM2,historical,1963,277.92370605
ACCESS-CM2,historical,1964,276.52334595
ACCESS-CM2,historical,1965,276.65545654
ACCESS-CM2,historical,1966,277.36553955
ACCESS-CM2,historical,1967,275.23880005
ACCESS-CM2,historical,1968,276.98727417
ACCESS-CM2,historical,1969,277.40475464
ACCESS-CM2,historical,1970,276.97164917
ACCESS-CM2,historical,1971,276.60647583
ACCESS-CM2,historical,1972,276.85855103
ACCESS-CM2,historical,1973,278.24166870
ACCESS-CM2,historical,1974,276.20007324
ACCESS-CM2,historical,1975,277.14044189
ACCESS-CM2,historical,1976,276.10559082
ACCESS-CM2,historical,1977,278.31051636
ACCESS-CM2,historical,1978,277.76937866
ACCESS-CM2,historical,1979,278.24621582
ACCESS-CM2,historical,1980,278.34451294
ACCESS-CM2,historical,1981,278.37576294
ACCESS-CM2,historical,1982,278.90270996
ACCESS-CM2,historical,1983,276.55062866
ACCESS-CM2,historical,1984,277.08255005
ACCESS-CM2,historical,1985,276.83489990
ACCESS-CM2,historical,1986,277.23703003
ACCESS-CM2,historical,1987,277.58898926
ACCESS-CM2,historical,1988,277.27536011
ACCESS-CM2,historical,1989,277.43218994
ACCESS-CM2,historical,1990,276.97589111
ACCESS-CM2,historical,1991,277.77929688
ACCESS-CM2,historical,1992,277.68444824
ACCESS-CM2,historical,1993,277.46575928
ACCESS-CM2,historical,1994,277.62402344
ACCESS-CM2,historical,1995,278.70031738
ACCESS-CM2,historical,1996,276.90850830
ACCESS-CM2,historical,1997,277.80160522
ACCESS-CM2,historical,1998,277.09805298
ACCESS-CM2,historical,1999,277.15872192
ACCESS-CM2,historical,2000,276.96878052
ACCESS-CM2,historical,2001,276.76321411
ACCESS-CM2,historical,2002,277.77642822
ACCESS-CM2,historical,2003,278.90011597
ACCESS-CM2,historical,2004,278.96633911
ACCESS-CM2,historical,2005,279.36935425
ACCESS-CM2,historical,2006,278.52117920
ACCESS-CM2,historical,2007,277.93243408
ACCESS-CM2,historical,2008,275.81365967
ACCESS-CM2,historical,2009,278.37033081
ACCESS-CM2,historical,2010,276.89089966
ACCESS-CM2,historical,2011,277.31536865
ACCESS-CM2,historical,2012,277.63690186
ACCESS-CM2,historical,2013,279.32901001
ACCESS-CM2,historical,2014,278.31887817
ACCESS-CM2,ssp126,2015,276.31491089
ACCESS-CM2,ssp126,2016,277.16775513
ACCESS-CM2,ssp126,2017,277.58395386
ACCESS-CM2,ssp126,2018,277.96475220
ACCESS-CM2,ssp126,2019,278.57995605
ACCESS-CM2,ssp126,2020,278.62100220
ACCESS-CM2,ssp126,2021,278.75955200
ACCESS-CM2,ssp126,2022,278.04983521
ACCESS-CM2,ssp126,2023,277.94692993
ACCESS-CM2,ssp126,2024,278.96524048
ACCESS-CM2,ssp126,2025,278.16061401
ACCESS-CM2,ssp126,2026,277.35317993
ACCESS-CM2,ssp126,2027,277.25057983
ACCESS-CM2,ssp126,2028,277.69982910
ACCESS-CM2,ssp126,2029,278.07455444
ACCESS-CM2,ssp126,2030,280.10437012
ACCESS-CM2,ssp126,2031,277.36825562
ACCESS-CM2,ssp126,2032,277.36489868
ACCESS-CM2,ssp126,2033,277.54995728
ACCESS-CM2,ssp126,2034,277.67385864
ACCESS-CM2,ssp126,2035,277.90347290
ACCESS-CM2,ssp126,2036,278.17144775
ACCESS-CM2,ssp126,2037,277.76251221
ACCESS-CM2,ssp126,2038,279.45272827
ACCESS-CM2,ssp126,2039,278.82684326
ACCESS-CM2,ssp126,2040,277.91372681
ACCESS-CM2,ssp126,2041,277.53234863
ACCESS-CM2,ssp126,2042,278.45770264
ACCESS-CM2,ssp126,2043,279.20651245
ACCESS-CM2,ssp126,2044,278.14392090
ACCESS-CM2,ssp126,2045,278.76669312
ACCESS-CM2,ssp126,2046,277.63876343
ACCESS-CM2,ssp126,2047,279.97872925
ACCESS-CM2,ssp126,2048,278.83184814
ACCESS-CM2,ssp126,2049,278.62060547
ACCESS-CM2,ssp126,2050,277.11996460
ACCESS-CM2,ssp126,2051,278.68670654
ACCESS-CM2,ssp126,2052,279.99325562
ACCESS-CM2,ssp126,2053,279.60745239
ACCESS-CM2,ssp126,2054,279.14031982
ACCESS-CM2,ssp126,2055,279.62716675
ACCESS-CM2,ssp126,2056,280.10931396
ACCESS-CM2,ssp126,2057,278.65682983
ACCESS-CM2,ssp126,2058,277.65646362
ACCESS-CM2,ssp126,2059,280.36669922
ACCESS-CM2,ssp126,2060,280.03924561
ACCESS-CM2,ssp126,2061,279.44537354
ACCESS-CM2,ssp126,2062,277.54595947
ACCESS-CM2,ssp126,2063,277.89047241
ACCESS-CM2,ssp126,2064,279.72732544
ACCESS-CM2,ssp126,2065,279.82965088
ACCESS-CM2,ssp126,2066,279.26660156
ACCESS-CM2,ssp126,2067,280.25488281
ACCESS-CM2,ssp126,2068,279.39666748
ACCESS-CM2,ssp126,2069,279.51895142
ACCESS-CM2,ssp126,2070,278.65301514
ACCESS-CM2,ssp126,2071,280.09469604
ACCESS-CM2,ssp126,2072,278.36160278
ACCESS-CM2,ssp126,2073,279.21130371
ACCESS-CM2,ssp126,2074,280.17129517
ACCESS-CM2,ssp126,2075,281.16442871
ACCESS-CM2,ssp126,2076,279.07955933
ACCESS-CM2,ssp126,2077,277.64562988
ACCESS-CM2,ssp126,2078,277.67773438
ACCESS-CM2,ssp126,2079,278.70373535
ACCESS-CM2,ssp126,2080,279.98492432
ACCESS-CM2,ssp126,2081,279.76757812
ACCESS-CM2,ssp126,2082,277.73782349
ACCESS-CM2,ssp126,2083,278.15954590
ACCESS-CM2,ssp126,2084,278.87063599
ACCESS-CM2,ssp126,2085,280.02792358
ACCESS-CM2,ssp126,2086,279.98159790
ACCESS-CM2,ssp126,2087,278.98156738
ACCESS-CM2,ssp126,2088,278.93310547
ACCESS-CM2,ssp126,2089,279.63400269
ACCESS-CM2,ssp126,2090,279.73535156
ACCESS-CM2,ssp126,2091,278.02719116
ACCESS-CM2,ssp126,2092,278.58432007
ACCESS-CM2,ssp126,2093,278.16244507
ACCESS-CM2,ssp126,2094,279.08776855
ACCESS-CM2,ssp126,2095,279.17495728
ACCESS-CM2,ssp126,2096,279.34283447
ACCESS-CM2,ssp126,2097,280.19976807
ACCESS-CM2,ssp126,2098,278.56515503
ACCESS-CM2,ssp126,2099,278.98251343
ACCESS-CM2,ssp245,2015,278.88015747
ACCESS-CM2,ssp245,2016,277.56680298
ACCESS-CM2,ssp245,2017,278.75988770
ACCESS-CM2,ssp245,2018,279.42233276
ACCESS-CM2,ssp245,2019,277.06143188
ACCESS-CM2,ssp245,2020,277.58981323
ACCESS-CM2,ssp245,2021,278.91403198
ACCESS-CM2,ssp245,2022,277.37564087
ACCESS-CM2,ssp245,2023,277.53521729
ACCESS-CM2,ssp245,2024,277.46746826
ACCESS-CM2,ssp245,2025,277.89913940
ACCESS-CM2,ssp245,2026,276.85058594
ACCESS-CM2,ssp245,2027,277.34487915
ACCESS-CM2,ssp245,2028,278.82122803
ACCESS-CM2,ssp245,2029,277.43234253
ACCESS-CM2,ssp245,2030,278.35592651
ACCESS-CM2,ssp245,2031,279.45617676
ACCESS-CM2,ssp245,2032,278.66394043
ACCESS-CM2,ssp245,2033,278.08462524
ACCESS-CM2,ssp245,2034,279.82354736
ACCESS-CM2,ssp245,2035,277.99121094
ACCESS-CM2,ssp245,2036,278.08358765
ACCESS-CM2,ssp245,2037,278.20242310
ACCESS-CM2,ssp245,2038,277.77688599
ACCESS-CM2,ssp245,2039,279.27267456
ACCESS-CM2,ssp245,2040,278.43029785
ACCESS-CM2,ssp245,2041,277.01135254
ACCESS-CM2,ssp245,2042,278.14657593
ACCESS-CM2,ssp245,2043,279.17343140
ACCESS-CM2,ssp245,2044,277.68466187
ACCESS-CM2,ssp245,2045,276.77886963
ACCESS-CM2,ssp245,2046,278.68298340
ACCESS-CM2,ssp245,2047,279.89443970
ACCESS-CM2,ssp245,2048,278.34207153
ACCESS-CM2,ssp245,2049,279.09542847
ACCESS-CM2,ssp245,2050,280.38363647
ACCESS-CM2,ssp245,2051,278.64984131
ACCESS-CM2,ssp245,2052,279.23965454
ACCESS-CM2,ssp245,2053,280.44625854
ACCESS-CM2,ssp245,2054,279.17745972
ACCESS-CM2,ssp245,2055,280.22885132
ACCESS-CM2,ssp245,2056,279.36968994
ACCESS-CM2,ssp245,2057,279.70437622
ACCESS-CM2,ssp245,2058,280.84417725
ACCESS-CM2,ssp245,2059,277.92404175
ACCESS-CM2,ssp245,2060,279.45861816
ACCESS-CM2,ssp245,2061,279.21649170
ACCESS-CM2,ssp245,2062,278.41595459
ACCESS-CM2,ssp245,2063,279.23532104
ACCESS-CM2,ssp245,2064,279.47244263
ACCESS-CM2,ssp245,2065,280.05847168
ACCESS-CM2,ssp245,2066,279.62469482
ACCESS-CM2,ssp245,2067,280.41867065
ACCESS-CM2,ssp245,2068,279.94369507
ACCESS-CM2,ssp245,2069,279.51675415
ACCESS-CM2,ssp245,2070,279.86035156
ACCESS-CM2,ssp245,2071,278.65423584
ACCESS-CM2,ssp245,2072,280.71057129
ACCESS-CM2,ssp245,2073,279.82931519
ACCESS-CM2,ssp245,2074,279.65371704
ACCESS-CM2,ssp245,2075,280.02615356
ACCESS-CM2,ssp245,2076,279.53900146
