model,experiment,year,tas
ACCESS-CM2,historical,1960,279.12597656
ACCESS-CM2,historical,1961,277.61578369
ACCESS-CM2,historical,1962,280.22784424
ACCESS-CM2,historical,1963,278.61486816
ACCESS-CM2,historical,1964,277.89987183
ACCESS-CM2,historical,1965,275.37161255
ACCESS-CM2,historical,1966,278.50891113
ACCESS-CM2,historical,1967,278.34738159
ACCESS-CM2,historical,1968,277.89541626
ACCESS-CM2,historical,1969,278.38464355
ACCESS-CM2,historical,1970,278.45401001
ACCESS-CM2,historical,1971,279.94635010
ACCESS-CM2,historical,1972,277.44033813
ACCESS-CM2,historical,1973,279.94052124
ACCESS-CM2,historical,1974,279.77389526
ACCESS-CM2,historical,1975,277.18786621
ACCESS-CM2,historical,1976,278.88812256
ACCESS-CM2,historical,1977,278.26461792
ACCESS-CM2,historical,1978,279.29965210
ACCESS-CM2,historical,1979,280.07174683
ACCESS-CM2,historical,1980,278.95755005
ACCESS-CM2,historical,1981,279.38955688
ACCESS-CM2,historical,1982,277.59967041
ACCESS-CM2,historical,1983,279.63943481
ACCESS-CM2,historical,1984,277.77191162
ACCESS-CM2,historical,1985,278.70159912
ACCESS-CM2,historical,1986,278.94763184
ACCESS-CM2,historical,1987,279.03140259
ACCESS-CM2,historical,1988,280.33605957
ACCESS-CM2,historical,1989,280.10302734
ACCESS-CM2,historical,1990,278.41082764
ACCESS-CM2,historical,1991,279.04977417
ACCESS-CM2,historical,1992,278.53463745
ACCESS-CM2,historical,1993,281.26803589
ACCESS-CM2,historical,1994,276.53900146
ACCESS-CM2,historical,1995,278.90463257
ACCESS-CM2,historical,1996,279.04922485
ACCESS-CM2,historical,1997,278.60311890
ACCESS-CM2,historical,1998,279.22406006
ACCESS-CM2,historical,1999,279.77999878
ACCESS-CM2,historical,2000,277.72122192
ACCESS-CM2,historical,2001,279.23278809
ACCESS-CM2,historical,2002,279.90170288
ACCESS-CM2,historical,2003,279.64550781
ACCESS-CM2,historical,2004,278.45919800
ACCESS-CM2,historical,2005,278.81588745
ACCESS-CM2,historical,2006,278.56365967
ACCESS-CM2,historical,2007,278.73593140
ACCESS-CM2,historical,2008,280.47271729
ACCESS-CM2,historical,2009,280.05294800
ACCESS-CM2,historical,2010,279.75106812
ACCESS-CM2,historical,2011,278.18811035
ACCESS-CM2,historical,2012,278.07550049
ACCESS-CM2,historical,2013,280.35949707
ACCESS-CM2,historical,2014,280.47109985
ACCESS-CM2,ssp126,2015,279.79208374
ACCESS-CM2,ssp126,2016,279.10797119
ACCESS-CM2,ssp126,2017,279.24087524
ACCESS-CM2,ssp126,2018,278.69046021
ACCESS-CM2,ssp126,2019,279.50878906
ACCESS-CM2,ssp126,2020,278.99365234
ACCESS-CM2,ssp126,2021,280.99038696
ACCESS-CM2,ssp126,2022,280.32501221
ACCESS-CM2,ssp126,2023,281.10299683
ACCESS-CM2,ssp126,2024,279.47570801
ACCESS-CM2,ssp126,2025,279.68490601
ACCESS-CM2,ssp126,2026,279.94854736
ACCESS-CM2,ssp126,2027,279.46875000
ACCESS-CM2,ssp126,2028,279.86215210
ACCESS-CM2,ssp126,2029,278.88876343
ACCESS-CM2,ssp126,2030,278.95556641
ACCESS-CM2,ssp126,2031,279.29132080
ACCESS-CM2,ssp126,2032,278.35293579
ACCESS-CM2,ssp126,2033,280.14968872
ACCESS-CM2,ssp126,2034,279.40545654
ACCESS-CM2,ssp126,2035,278.56509399
ACCESS-CM2,ssp126,2036,280.74328613
ACCESS-CM2,ssp126,2037,279.21139526
ACCESS-CM2,ssp126,2038,279.73867798
ACCESS-CM2,ssp126,2039,279.61898804
ACCESS-CM2,ssp126,2040,279.81576538
ACCESS-CM2,ssp126,2041,279.25158691
ACCESS-CM2,ssp126,2042,278.48464966
ACCESS-CM2,ssp126,2043,279.76849365
ACCESS-CM2,ssp126,2044,279.66943359
ACCESS-CM2,ssp126,2045,279.26971436
ACCESS-CM2,ssp126,2046,280.06790161
ACCESS-CM2,ssp126,2047,279.98898315
ACCESS-CM2,ssp126,2048,279.27975464
ACCESS-CM2,ssp126,2049,279.39495850
ACCESS-CM2,ssp126,2050,278.60006714
ACCESS-CM2,ssp126,2051,279.59115601
ACCESS-CM2,ssp126,2052,279.96710205
ACCESS-CM2,ssp126,2053,279.15267944
ACCESS-CM2,ssp126,2054,279.46829224
ACCESS-CM2,ssp126,2055,280.22503662
ACCESS-CM2,ssp126,2056,279.96176147
ACCESS-CM2,ssp126,2057,278.71865845
ACCESS-CM2,ssp126,2058,281.38293457
ACCESS-CM2,ssp126,2059,280.91159058
ACCESS-CM2,ssp126,2060,280.70153809
ACCESS-CM2,ssp126,2061,279.82305908
ACCESS-CM2,ssp126,2062,279.69812012
ACCESS-CM2,ssp126,2063,280.49200439
ACCESS-CM2,ssp126,2064,280.06427002
ACCESS-CM2,ssp126,2065,281.88882446
ACCESS-CM2,ssp126,2066,279.84118652
ACCESS-CM2,ssp126,2067,278.86038208
ACCESS-CM2,ssp126,2068,278.95294189
ACCESS-CM2,ssp126,2069,280.54833984
ACCESS-CM2,ssp126,2070,279.52304077
ACCESS-CM2,ssp126,2071,281.14929199
ACCESS-CM2,ssp126,2072,280.97052002
ACCESS-CM2,ssp126,2073,280.42794800
ACCESS-CM2,ssp126,2074,279.49090576
ACCESS-CM2,ssp126,2075,279.86178589
ACCESS-CM2,ssp126,2076,279.52447510
ACCESS-CM2,ssp126,2077,280.51910400
ACCESS-CM2,ssp126,2078,280.10708618
ACCESS-CM2,ssp126,2079,278.03665161
ACCESS-CM2,ssp126,2080,281.94317627
ACCESS-CM2,ssp126,2081,280.71865845
ACCESS-CM2,ssp126,2082,280.54379272
ACCESS-CM2,ssp126,2083,280.39779663
ACCESS-CM2,ssp126,2084,278.70123291
ACCESS-CM2,ssp126,2085,279.58517456
ACCESS-CM2,ssp126,2086,279.55862427
ACCESS-CM2,ssp126,2087,281.78079224
ACCESS-CM2,ssp126,2088,280.31103516
ACCESS-CM2,ssp126,2089,280.78585815
ACCESS-CM2,ssp126,2090,281.22064209
ACCESS-CM2,ssp126,2091,280.27859497
ACCESS-CM2,ssp126,2092,279.23718262
ACCESS-CM2,ssp126,2093,279.57400513
ACCESS-CM2,ssp126,2094,280.11563110
ACCESS-CM2,ssp126,2095,278.78756714
ACCESS-CM2,ssp126,2096,280.58789062
ACCESS-CM2,ssp126,2097,280.65887451
ACCESS-CM2,ssp126,2098,280.28820801
ACCESS-CM2,ssp126,2099,280.65332031
ACCESS-CM2,ssp245,2015,279.96884155
ACCESS-CM2,ssp245,2016,278.57647705
ACCESS-CM2,ssp245,2017,278.66101074
ACCESS-CM2,ssp245,2018,278.22042847
ACCESS-CM2,ssp245,2019,279.42660522
ACCESS-CM2,ssp245,2020,279.08743286
ACCESS-CM2,ssp245,2021,279.56015015
ACCESS-CM2,ssp245,2022,279.70877075
ACCESS-CM2,ssp245,2023,279.26065063
ACCESS-CM2,ssp245,2024,278.85604858
ACCESS-CM2,ssp245,2025,280.37170410
ACCESS-CM2,ssp245,2026,280.07553101
ACCESS-CM2,ssp245,2027,279.02276611
